tag,eval_samples,gsm8k_acc
gsmA_rankmixc_c2_input,150,0.2333
gsmA_rankmixc_c4_input,150,0.1467
gsmA_rankmixc_c4_none,150,0.2267
gsmA_rankmixc_c8_input,150,0.18
gsmB_r16_aurora_s1,500,0.25
gsmB_r16_aurora_s2,500,0.272
gsmB_r16_lora_s1,500,0.254
gsmB_r16_lora_s2,500,0.186
gsmB_r1_aurora_s1,150,0.1867
gsmB_r1_aurora_s1,500,0.212
gsmB_r1_aurora_s2,150,0.2267
gsmB_r1_aurora_s2,500,0.236
gsmB_r1_auroraf_s1,150,0.16
gsmB_r1_auroraf_s2,150,0.2667
gsmB_r1_lora_s1,150,0.18
gsmB_r1_lora_s1,500,0.222
gsmB_r1_lora_s2,150,0.1533
gsmB_r1_lora_s2,500,0.15
gsmB_r2_aurora_s1,150,0.22
gsmB_r2_aurora_s1,500,0.21
gsmB_r2_aurora_s2,150,0.32
gsmB_r2_aurora_s2,500,0.312
gsmB_r2_aurora_s3,150,0.2267
gsmB_r2_aurora_s3,500,0.276
gsmB_r2_aurora_s4,150,0.2467
gsmB_r2_aurora_s4,500,0.222
gsmB_r2_aurora_s5,150,0.2133
gsmB_r2_aurora_s5,500,0.266
gsmB_r2_auroraf_s1,150,0.1867
gsmB_r2_auroraf_s2,150,0.2267
gsmB_r2_auroraf_s3,150,0.22
gsmB_r2_lora_s1,150,0.18
gsmB_r2_lora_s1,500,0.224
gsmB_r2_lora_s2,150,0.1533
gsmB_r2_lora_s2,500,0.16
gsmB_r2_lora_s3,150,0.1667
gsmB_r2_lora_s3,500,0.218
gsmB_r2_lora_s4,150,0.1733
gsmB_r2_lora_s4,500,0.218
gsmB_r2_lora_s5,150,0.0933
gsmB_r2_lora_s5,500,0.15
gsmB_r32_aurora_s1,500,0.278
gsmB_r32_aurora_s2,500,0.234
gsmB_r32_lora_s1,500,0.256
gsmB_r32_lora_s2,500,0.276
gsmB_r4_aurora_s1,150,0.16
gsmB_r4_aurora_s1,500,0.164
gsmB_r4_aurora_s2,150,0.1867
gsmB_r4_aurora_s2,500,0.188
gsmB_r4_auroraf_s1,150,0.2067
gsmB_r4_auroraf_s2,150,0.18
gsmB_r4_lora_s1,150,0.22
gsmB_r4_lora_s1,500,0.224
gsmB_r4_lora_s2,150,0.1133
gsmB_r4_lora_s2,500,0.17
gsmC_afa_r8_s1,150,0.1933
gsmC_aurora_r8_s1,150,0.2867
gsmC_loran_r8_s1,150,0.02
gsmF_auroraf_input_s1,150,0.1867
gsmF_auroraf_input_s2,150,0.2333
gsmF_auroraf_input_s3,150,0.1933
gsmF_auroraf_none_s1,150,0.2333
gsmF_auroraf_none_s2,150,0.28
gsmF_auroraf_none_s3,150,0.1867
gsmGLU_r1_s1,150,0.1933
gsmGLU_r2_s1,150,0.24
gsmG_aurora_none_s1,150,0.2333
gsmG_aurora_none_s1,500,0.226
gsmG_aurora_none_s2,150,0.2333
gsmG_aurora_none_s2,500,0.258
gsmG_aurora_none_s3,150,0.2267
gsmG_aurora_none_s3,500,0.222
gsmG_aurorag_input_s1,150,0.24
gsmG_aurorag_input_s2,150,0.2133
gsmG_aurorag_input_s3,150,0.18
gsmG_aurorag_none_s1,150,0.1933
gsmL_r16_s1,150,0.2533
gsmL_r8_s1,150,0.22
gsmL_r8_s2,150,0.2333
gsmL_r8_s3,150,0.22
gsmSF_r2_p8k2_s1,150,0.1267
gsmST_r2_p8k2_s1,150,0.1533
gsmSV_r2_p8k2_s1,150,0.1067
gsmX_aurorag_context_s1,150,0.1267
gsmX_aurorag_context_s2,150,0.18
gsmX_aurorag_context_s3,150,0.1933
gsmX_aurorag_input_s1,150,0.24
gsmX_aurorag_input_s2,150,0.2533
gsmX_aurorag_input_s3,150,0.2733
gsm_01_lora_r8_s1,500,0.212
gsm_07_lora_r8_s2,500,0.28
gsm_08_lora_r8_s3,500,0.274
